date,AFKS,AFLT,ALRS,BSPB,CBOM,CHMF,FEES,GAZP,GMKN,HYDR,IRAO,LKOH,LSRG,MAGN,MOEX,MSNG,MTLR,MTLRP,MTSS,MVID,NLMK,NVTK,PHOR,PIKK,PLZL,ROSN,RTKM,RTKMP,RUAL,SBER,SBERP,SELG,TATN,TATNP,TGKA,TRNFP,VTBR
2015-11-24,17.645,55.77,53.2,38.55,3.78,712.4,0.06046,145.65,93.44,0.584,1.16,2576.9,655.0,20.74,93.94,0.8185,60.0,40.2,212.85,251.8,70.3,612.1,2709.0,225.1,263.5,265.75,91.18,63.3,23.96,105.6,76.35,3.96,345.0,199.3,0.004105,1659.0,364.15
2015-11-25,17.725,56.67,54.46,39.4,3.795,715.2,0.06161,143.99,94.27,0.6033,1.1785,2606.9,659.5,21.76,94.05,0.824,60.83,40.42,219.0,252.8,70.9,629.5,2750.0,221.9,268.0,271.55,90.0,63.45,23.58,108.51,78.45,3.87,345.9,200.7,0.00422,1649.0,372.5
2015-11-26,17.775,55.12,54.56,38.95,3.85,722.0,0.0616,143.2,93.9,0.606,1.1805,2598.6,669.5,21.595,94.8,0.8215,63.64,41.88,217.5,252.7,71.34,627.2,2733.0,223.8,268.0,270.85,90.3,63.8,23.57,106.48,77.89,3.99,344.3,199.1,0.004145,1625.0,380.0
2015-11-27,17.63,55.42,52.72,39.15,3.91,710.6,0.06138,140.65,92.2,0.6047,1.1825,2539.4,667.0,20.97,97.0,0.8165,63.0,41.47,214.05,252.4,70.88,626.4,2723.0,220.2,270.0,268.2,88.07,63.25,23.7,104.55,77.8,4.5,336.9,195.8,0.004195,1532.0,363.55
2015-11-30,17.655,58.91,52.18,40.05,3.83,703.8,0.06112,138.0,89.2,0.611,1.1745,2534.1,673.0,21.2,94.5,0.83,63.11,41.55,217.7,243.4,70.08,621.0,2715.0,217.8,263.0,265.0,87.74,63.7,23.52,102.9,76.2,4.76,314.05,193.5,0.004185,1510.0,354.99999999999994
2015-12-01,17.75,61.0,51.49,40.75,3.85,703.3,0.06119,137.42,90.54,0.6059,1.1435,2559.0,690.5,21.38,96.0,0.8205,64.4,41.81,216.5,253.4,69.9,607.6,2716.0,221.0,266.0,264.7,89.49,64.5,23.31,101.3,74.5,6.4,323.0,190.0,0.00418,1565.0,366.4
2015-12-02,17.785,57.6,51.55,40.95,3.84,705.7,0.06099,136.85,89.39,0.607,1.15,2535.4,690.0,21.695,94.69,0.8145,67.4,42.38,217.0,257.8,70.1,601.0,2691.0,220.0,265.0,258.5,89.95,65.0,23.24,102.5,74.5,5.77,321.5,193.0,0.00415,1544.0,361.25
2015-12-03,18.35,56.51,51.97,42.0,3.805,697.5,0.0605,140.0,91.13,0.5965,1.1375,2559.0,701.0,21.34,94.02,0.8165,68.22,42.67,217.55,267.8,70.19,608.2,2740.0,230.0,266.0,257.6,89.6,64.4,23.4,104.0,75.0,6.94,316.9,192.5,0.00418,1556.0,358.5
2015-12-04,17.72,57.33,52.13,41.9,3.815,686.7,0.06015,137.7,88.51,0.6039,1.125,2489.9,695.0,21.0,93.8,0.812,65.36,41.3,214.8,271.6,67.77,584.3,2699.0,222.4,265.5,251.45,87.8,64.15,23.35,103.05,72.81,5.77,312.0,192.8,0.004175,1532.0,361.5
2015-12-07,17.355,59.0,50.5,41.6,3.84,673.9,0.05912,134.5,89.25,0.5893,1.1205,2410.0,710.0,21.19,93.59,0.815,64.29,40.4,216.0,267.8,65.9,580.8,2754.0,227.8,267.0,244.0,85.4,63.05,23.4,103.0,73.99,5.62,308.8,192.4,0.004165,1561.0,362.35
2015-12-08,17.42,56.91,48.96,40.65,3.84,674.6,0.05827,134.65,89.7,0.6015,1.13,2377.9,703.0,20.665,90.25,0.815,62.1,39.63,215.95,262.3,64.76,570.0,2723.0,216.5,266.5,244.65,86.67,64.0,23.55,97.0,71.0,7.3,304.9,187.8,0.004155,1544.0,362.25
2015-12-09,17.245,58.4,49.8,41.7,3.835,658.0,0.05949,135.81,89.35,0.5935,1.13,2385.1,693.0,19.92,88.3,0.815,62.7,39.38,218.45,260.5,64.3,589.1,2713.0,221.6,268.0,247.7,87.16,65.5,23.08,100.66,72.85,6.78,311.6,183.4,0.004175,1533.0,375.25
2015-12-10,16.96,59.84,49.55,43.8,3.825,650.0,0.0592,135.6,89.25,0.5951,1.115,2445.0,691.5,18.795,89.27,0.818,63.99,40.69,217.0,258.0,65.9,582.2,2727.0,221.2,268.5,249.0,86.85,64.6,23.3,100.13,72.61,6.67,314.2,180.8,0.00416,1511.0,378.75
2015-12-11,17.125,58.5,50.5,44.1,3.825,644.9,0.05868,133.8,89.0,0.5945,1.097,2450.0,697.5,18.68,90.7,0.8185,65.28,40.92,216.0,247.5,64.89,580.9,2772.0,221.4,273.0,244.85,88.94,63.5,23.31,98.15,71.21,6.25,310.0,180.7,0.004155,1490.0,378.5
2015-12-14,17.02,58.0,53.28,42.4,3.825,634.6,0.05859,131.59,87.8,0.6028,1.0945,2432.8,683.5,18.13,88.8,0.815,65.1,40.5,213.55,246.0,63.1,570.0,2821.0,220.0,284.0,244.9,91.5,64.15,23.36,97.7,69.1,5.93,303.8,178.8,0.00412,1511.0,378.75
2015-12-15,17.395,57.2,56.0,43.45,3.84,645.0,0.0594,134.4,89.65,0.625,1.112,2446.8,677.5,17.78,94.9,0.813,65.9,40.59,217.0,263.5,63.0,585.0,2830.0,220.0,292.0,249.7,90.53,65.55,23.29,100.0,71.4,6.0,316.6,184.5,0.004165,1578.0,381.2
2015-12-16,17.95,56.45,55.73,42.1,3.85,633.4,0.06061,134.5,91.08,0.678,1.1135,2415.0,667.0,17.63,92.3,0.845,65.98,40.3,220.0,257.2,62.54,588.0,2833.0,220.0,286.0,250.1,92.5,66.4,22.85,102.45,72.5,6.02,313.4,187.5,0.004175,1672.0,387.5
2015-12-17,18.3,57.15,56.74,44.5,3.68,630.0,0.06068,137.9,94.5,0.678,1.1,2427.0,680.0,17.895,94.21,0.83,68.0,41.56,221.1,261.8,61.19,604.0,2915.0,224.0,292.0,258.7,92.2,66.65,22.24,103.75,73.7,6.13,318.0,185.3,0.00417,1701.0,393.85
2015-12-18,17.05,56.51,57.6,44.25,3.685,606.0,0.0604,132.25,92.29,0.664,1.107,2327.1,682.0,18.05,94.82,0.8395,65.32,40.53,221.5,274.8,59.45,578.2,2851.0,216.1,291.0,250.75,90.7,66.6,22.1,98.81,68.24,6.2,303.0,187.0,0.004125,1699.0,376.0
2015-12-21,17.6,56.9,56.92,43.75,3.67,606.6,0.05916,131.5,90.48,0.652,1.077,2338.7,678.5,18.095,96.0,0.827,66.1,40.48,213.05,266.0,58.5,575.8,2855.0,220.0,329.0,245.6,89.45,66.5,22.15,98.73,70.7,6.48,306.0,187.6,0.00413,1676.0,381.7000000000001
2015-12-22,17.68,57.5,56.99,43.5,3.675,608.0,0.05932,133.2,92.2,0.6659,1.0655,2327.0,667.0,18.065,95.75,0.83,64.64,39.95,212.85,267.5,58.29,570.6,2805.0,220.0,301.0,248.2,88.7,65.5,21.46,99.8,72.45,6.15,306.9,187.5,0.00415,1684.0,387.1
2015-12-23,17.7,57.01,57.35,43.3,3.67,604.0,0.05982,135.3,94.1,0.671,1.0545,2317.0,678.5,18.18,96.5,0.8275,65.09,40.32,211.75,262.4,58.87,591.0,2802.0,220.0,293.0,253.65,89.29,66.4,21.8,102.96,75.67,5.96,308.7,188.0,0.0042,1738.0,393.2
2015-12-24,17.605,56.8,57.02,43.3,3.685,600.1,0.05986,136.0,93.44,0.6645,1.059,2325.3,672.0,18.205,95.57,0.826,65.07,40.3,213.0,258.0,60.82,587.7,2800.0,220.0,307.0,251.6,88.53,66.0,22.23,101.35,75.88,5.39,313.55,188.3,0.004165,1763.0,385.05
2015-12-25,17.59,56.74,56.42,44.1,3.75,600.3,0.05879,134.48,93.44,0.6586,1.0575,2310.2,667.5,18.18,94.72,0.8255,65.41,39.99,212.2,256.0,61.83,581.8,2851.0,216.1,298.5,245.8,88.19,66.0,22.3,101.34,75.26,5.25,311.9,187.9,0.004165,1766.0,385.5
2015-12-28,17.335,56.29,54.23,44.0,3.73,610.5,0.05828,134.97,93.5,0.6478,1.0785,2309.9,668.0,17.8,93.55,0.816,64.38,39.7,210.25,256.0,61.05,579.2,2830.0,220.0,283.0,246.0,88.89,66.6,21.87,100.2,75.25,5.2,312.35,187.4,0.00414,1813.0,380.0
2015-12-29,17.7,56.11,55.0,43.9,3.77,616.0,0.05854,137.49,91.89,0.6647,1.068,2353.6,667.5,17.965,93.62,0.8195,64.76,39.94,211.5,256.6,62.77,599.5,2813.0,218.9,290.5,255.0,91.99,67.1,22.1,101.82,76.85,5.12,322.65,193.6,0.00413,1880.0,391.0000000000001
2015-12-30,17.65,56.1,55.94,43.55,3.8,609.5,0.0594,136.09,91.5,0.679,1.106,2345.9,673.0,18.875,91.4,0.819,64.9,40.15,210.0,268.5,62.6,591.0,2821.0,219.0,287.5,253.25,90.55,69.05,22.5,101.26,76.5,5.01,317.6,199.1,0.004175,1940.0,398.5
2016-01-04,17.64,56.2,55.21,43.75,3.93,597.4,0.05968,134.91,89.22,0.6606,1.2295,2310.2,698.0,18.82,91.85,0.821,64.64,39.89,208.45,270.4,61.48,571.0,2835.0,215.5,286.0,251.0,88.5,67.95,22.49,98.01,73.88,5.15,307.05,200.5,0.00422,1918.0,385.95
2016-01-05,18.11,54.45,57.8,43.45,3.865,612.8,0.0611,136.45,90.85,0.6851,1.368,2380.0,717.5,18.95,94.3,0.8545,64.8,39.9,210.75,273.5,60.75,573.6,2816.0,213.2,288.5,253.2,87.02,67.5,23.1,98.89,74.23,5.08,314.0,200.0,0.00431,1946.0,376.6
2016-01-06,18.095,54.05,57.69,43.65,3.885,639.8,0.06075,135.94,89.9,0.6771,1.42,2378.0,732.0,19.27,94.44,0.849,64.75,40.05,210.0,274.9,60.75,568.0,2826.0,212.5,289.0,252.4,88.49,68.15,22.99,96.85,72.62,5.14,316.0,198.5,0.004255,1990.0,375.85
2016-01-11,17.575,52.06,56.11,43.0,3.875,618.9,0.05874,131.38,86.0,0.661,1.364,2257.9,695.5,18.685,94.5,0.824,62.02,39.14,200.55,255.4,59.34,550.5,2810.0,208.9,303.0,241.05,86.52,66.45,22.3,91.03,69.11,5.0,303.1,195.8,0.004155,2008.0,361.25
2016-01-12,17.56,53.25,58.34,43.55,3.82,620.0,0.05895,133.54,85.53,0.6775,1.354,2223.5,681.0,18.285,93.75,0.8275,62.16,40.02,205.0,250.3,60.91,567.0,2828.0,210.1,318.0,239.9,85.5,66.0,22.4,91.71,69.32,4.97,305.7,193.0,0.004145,2027.0,368.1
2016-01-13,17.555,55.0,57.61,43.15,3.77,611.3,0.05818,131.3,86.14,0.67,1.3205,2225.0,684.0,17.85,91.6,0.822,62.27,39.49,208.0,254.9,61.06,572.8,2840.0,211.1,312.0,239.6,86.13,66.3,22.45,91.5,70.6,4.98,301.35,189.0,0.004195,2040.0,361.25
2016-01-14,18.38,53.6,57.26,43.4,3.75,613.0,0.05773,130.86,84.64,0.6635,1.3,2188.9,668.0,17.645,91.65,0.8265,60.35,38.44,210.85,252.7,60.15,576.1,2786.0,210.0,310.0,237.65,86.15,65.8,22.9,93.04,70.57,4.63,300.65,187.7,0.004135,2050.0,359.29999999999995
2016-01-15,17.61,51.98,53.9,42.2,3.74,604.0,0.05499,125.1,80.5,0.6152,1.261,2098.0,623.0,17.145,86.59,0.8145,57.0,36.82,205.0,251.9,57.5,543.7,2665.0,211.6,310.0,232.1,81.27,63.55,22.33,87.27,66.8,4.45,284.05,184.6,0.00404,2045.0,347.50000000000006
2016-01-18,17.25,50.4,53.31,41.1,3.74,622.0,0.05529,124.6,82.9,0.62,1.27,2112.1,589.5,17.555,90.15,0.82,56.25,36.76,205.4,251.0,58.14,559.5,2689.0,211.3,301.0,232.0,81.68,64.65,22.39,86.15,66.33,4.79,284.65,186.0,0.00399,2080.0,347.0
2016-01-19,17.4,52.06,54.09,41.9,3.73,629.0,0.0565,125.98,85.4,0.6158,1.303,2150.0,615.0,17.75,90.45,0.8255,55.9,36.48,208.0,254.9,58.39,561.8,2743.0,210.0,299.5,236.05,84.81,66.6,22.4,86.68,66.1,4.83,296.7,186.0,0.004035,2111.0,347.0
2016-01-20,17.055,52.0,55.0,40.95,3.735,634.8,0.05568,125.83,86.49,0.6299,1.32,2145.3,597.5,17.22,90.21,0.8225,54.13,35.85,204.8,254.8,57.2,553.7,2730.0,211.1,307.5,231.9,82.0,64.6,22.24,83.83,63.55,4.54,290.0,183.4,0.003935,2174.0,337.5
2016-01-21,17.27,50.99,56.72,41.35,3.74,662.0,0.05694,127.75,91.3,0.6359,1.32,2212.8,629.0,17.92,90.0,0.8235,55.97,36.99,211.7,250.7,60.1,568.1,2808.0,210.1,312.0,237.5,83.25,65.3,22.51,86.0,65.39,4.57,294.6,182.6,0.00396,2310.0,337.45
2016-01-22,17.99,52.03,57.1,41.0,3.74,642.0,0.0578,132.4,91.0,0.65,1.3155,2340.9,634.5,18.37,90.28,0.826,62.39,39.99,216.5,248.6,62.0,593.5,2863.0,210.0,310.5,250.4,85.39,65.8,22.58,91.5,68.75,4.49,319.9,186.3,0.00402,1976.0,348.0
2016-01-25,17.67,51.1,56.66,41.0,3.75,648.2,0.0575,133.0,90.5,0.6479,1.307,2349.0,624.0,18.65,90.0,0.8285,61.65,39.89,215.5,248.5,62.4,595.7,2775.0,210.0,308.0,255.0,84.71,65.1,22.53,91.0,66.75,4.51,319.85,190.0,0.00401,1981.0,342.25
2016-01-26,17.66,51.28,59.79,40.4,3.745,644.8,0.05788,131.89,88.8,0.6453,1.32,2320.0,622.0,18.76,90.0,0.8295,61.25,40.12,218.1,245.2,63.59,577.0,2715.0,212.0,311.5,255.9,84.99,64.5,22.6,91.5,67.21,4.54,308.05,186.0,0.004055,2010.0,338.3
2016-01-27,17.81,50.99,60.6,40.5,3.74,651.5,0.0585,134.0,89.91,0.6581,1.339,2400.5,633.0,19.78,93.65,0.8425,61.7,40.06,224.0,246.5,66.1,600.0,2733.0,218.6,311.0,264.4,85.3,64.5,22.5,95.75,68.8,4.45,314.0,187.8,0.00405,2004.0,343.35
2016-01-28,17.73,50.89,61.3,41.1,3.745,630.0,0.05895,136.5,89.7,0.665,1.39,2495.0,632.5,19.04,92.7,0.856,61.2,40.4,227.2,250.0,64.61,618.4,2704.0,214.0,310.0,267.35,86.15,64.95,22.55,96.69,68.89,4.39,326.5,182.5,0.00399,1940.0,358.0
2016-01-29,17.74,50.5,61.73,42.5,3.76,621.5,0.0585,136.6,88.5,0.649,1.34,2569.0,624.0,19.08,95.99,0.85,61.11,39.88,226.0,259.9,65.5,639.2,2722.0,210.1,324.5,272.45,86.29,65.0,22.53,96.5,68.5,4.52,339.55,184.9,0.00395,1892.0,368.5
2016-02-01,17.655,54.77,62.0,42.6,3.77,635.0,0.05887,133.9,86.98,0.6596,1.3395,2547.0,630.0,18.86,96.5,0.8525,62.09,40.96,227.0,257.4,66.03,630.0,2747.0,215.0,315.2,269.8,86.9,65.15,22.86,96.5,69.5,4.55,332.0,186.3,0.003995,1887.0,367.5
2016-02-02,17.65,54.1,64.81,42.85,3.765,634.4,0.05815,132.5,89.24,0.6532,1.324,2491.0,626.5,18.925,96.2,0.882,62.23,41.01,229.5,262.7,67.85,622.1,2753.0,213.8,313.8,271.8,87.0,65.85,23.3,94.4,67.96,4.79,324.95,183.1,0.00399,1875.0,353.7
2016-02-03,17.49,53.84,65.55,42.65,3.77,632.3,0.06022,131.01,87.7,0.67,1.4195,2475.5,614.5,19.6,99.6,0.9595,62.55,41.16,230.6,259.0,68.5,613.0,2749.0,210.7,311.0,273.1,85.51,65.4,23.6,94.53,68.25,4.83,317.45,183.8,0.004085,1871.0,347.6
2016-02-04,17.755,54.89,68.37,42.6,3.765,642.8,0.06187,135.07,89.99,0.679,1.419,2553.5,604.0,19.145,92.3,0.9445,63.99,41.37,232.0,264.9,68.79,636.0,2730.0,218.4,306.4,283.0,87.0,65.0,23.67,97.57,70.79,4.84,340.55,190.5,0.00408,1854.0,359.95
2016-02-05,17.545,57.3,66.6,42.7,3.76,637.0,0.0614,134.43,90.05,0.671,1.425,2594.0,610.5,19.34,93.03,0.9625,65.54,43.33,231.85,265.5,71.0,623.3,2710.0,210.7,306.4,281.55,86.31,64.5,23.69,97.2,70.89,5.12,335.3,186.9,0.00408,1827.0,355.75
2016-02-08,17.32,57.35,64.9,42.65,3.755,641.0,0.0605,133.5,88.7,0.6669,1.41,2482.5,621.0,18.8,91.14,0.9555,63.48,41.81,227.0,262.3,69.9,604.1,2685.0,208.6,307.8,276.05,86.0,64.95,23.48,94.7,69.06,5.05,326.4,183.7,0.004065,1850.0,348.75000000000006
2016-02-09,17.495,56.66,63.2,42.7,3.74,649.0,0.06253,132.7,86.5,0.6721,1.4185,2387.5,618.5,18.565,91.09,0.947,62.04,41.01,229.0,260.7,70.1,604.9,2693.0,212.6,311.5,268.6,85.5,64.9,23.25,93.89,68.65,5.09,325.5,183.1,0.00403,1869.0,342.29999999999995
2016-02-10,17.6,55.8,62.3,42.75,3.74,648.3,0.06264,133.03,85.1,0.681,1.4045,2382.5,610.0,19.23,90.95,0.936,64.0,42.01,227.6,253.2,71.0,615.8,2670.0,211.3,311.9,265.5,85.54,64.95,22.97,96.35,70.11,5.12,322.05,180.7,0.004045,1917.0,347.0
2016-02-11,17.43,53.64,64.0,42.9,3.765,663.9,0.0614,130.49,83.76,0.6702,1.3755,2392.0,618.0,19.31,89.0,0.952,62.55,41.7,226.3,249.8,72.3,597.0,2675.0,208.7,316.9,264.85,84.0,64.0,22.7,94.2,68.28,5.04,313.0,176.0,0.00401,1900.0,339.7
2016-02-12,17.57,54.41,67.32,42.7,3.775,658.0,0.06204,131.3,83.5,0.6754,1.3995,2396.0,616.0,19.05,89.58,0.971,63.82,41.88,229.75,240.3,72.96,610.0,2661.0,209.9,314.3,270.7,84.5,64.0,22.88,94.85,69.3,5.03,326.3,177.4,0.004025,1927.0,346.5
2016-02-15,17.4,53.88,69.19,42.8,3.78,655.0,0.0618,133.43,83.45,0.6695,1.395,2429.0,610.0,18.79,90.4,0.9695,63.74,41.8,228.5,235.7,75.0,607.2,2611.0,208.0,314.2,271.0,84.57,63.95,22.75,95.25,69.32,5.05,327.35,178.3,0.00394,1970.0,353.0
2016-02-16,17.5,54.13,70.95,42.9,3.775,662.0,0.06298,135.85,84.86,0.6691,1.4,2450.0,611.0,19.055,91.0,0.9735,63.97,41.8,233.0,237.3,77.04,605.2,2566.0,206.9,325.1,277.4,84.75,64.05,22.7,96.51,69.62,5.15,327.7,180.7,0.00396,1963.0,352.29999999999995
2016-02-17,17.59,53.59,69.0,42.9,3.78,644.1,0.06193,137.1,86.33,0.6745,1.411,2467.0,592.0,18.84,91.0,0.961,64.26,41.86,234.2,238.7,75.55,615.7,2580.0,208.7,323.0,279.9,87.0,64.55,23.3,99.2,71.29,5.2,327.9,182.9,0.003935,1965.0,356.6
2016-02-18,17.75,54.15,68.29,43.2,3.8,650.1,0.06328,138.0,88.8,0.7154,1.49,2565.0,593.5,19.385,92.47,0.9705,65.0,41.58,238.0,239.3,74.11,636.3,2594.0,220.9,327.5,283.35,90.24,65.5,22.94,102.7,73.25,5.05,327.1,183.7,0.00398,1989.0,367.75
2016-02-19,17.72,53.32,68.6,43.0,3.805,645.0,0.0627,136.9,87.45,0.7125,1.47,2540.0,592.0,19.43,89.95,0.998,64.59,41.37,236.8,243.0,73.29,629.5,2609.0,229.0,334.1,278.4,88.9,65.0,23.18,101.5,71.93,5.16,318.3,183.4,0.003965,1996.0,363.5
2016-02-20,17.655,53.4,69.12,43.15,3.765,644.0,0.0623,136.59,87.2,0.7103,1.4875,2529.0,596.5,19.4,90.48,0.9915,64.7,41.65,235.4,241.4,72.68,621.4,2633.0,236.1,334.0,276.95,88.4,64.85,23.28,102.39,72.63,10.31,317.1,183.1,0.00397,1980.0,361.55
2016-02-22,17.75,54.8,70.35,43.15,3.805,645.7,0.0628,139.9,87.5,0.716,1.477,2610.0,591.5,18.9,92.09,1.004,64.64,41.79,238.0,242.4,74.66,640.3,2640.0,246.0,335.6,285.0,91.8,65.5,23.84,103.2,73.6,8.79,322.3,185.3,0.003975,2009.0,366.5
2016-02-24,17.65,53.7,71.3,42.8,3.75,641.3,0.06295,137.15,87.5,0.6988,1.4955,2550.0,596.0,18.76,93.2,0.988,64.59,41.71,228.0,244.0,74.36,630.8,2614.0,250.0,345.9,281.7,89.12,64.35,23.32,102.1,72.34,8.6,312.9,185.0,0.00395,2018.0,358.75
2016-02-25,17.6,54.05,70.52,42.8,3.78,640.1,0.06495,137.97,87.5,0.6899,1.543,2551.5,597.0,19.45,95.09,0.9905,64.67,41.64,228.1,242.8,74.18,634.3,2650.0,250.0,361.3,279.5,89.0,64.35,23.2,104.05,73.76,8.5,318.0,185.0,0.003975,1992.0,357.20000000000005
