Date,GC=F,SI=F,PL=F,CL=F,HG=F,ALI=F,ZN=F,ZW=F,ZC=F,ZS=F,KC=F,SB=F,NG=F
2011-08-14,20686.410306310016,464.80829103941863,21358.04702341223,1014.9440895837507,47.66243248063669,25828.295169625508,1543.8728961708032,8350.88130556296,8341.96577392001,15893.421075498472,2857.1307797320874,330.9445364001653,48.26274394696705
2011-08-15,20760.673052847967,464.7410632868354,21253.819764667405,1039.2753579398393,47.676816041875256,25695.102464013344,1532.2157233891285,8426.077784194918,8363.990895258745,15888.330530618767,2905.666366122586,324.9805103895074,47.58812409528355
2011-08-16,20947.79890170418,467.99947864635493,21367.365434303912,1018.3610760402494,46.939804077878456,25535.418222763947,1528.7535719746709,8517.682364261038,8391.342129123672,15748.457217122857,2956.361538080397,329.54235431811054,46.21114369117712
2011-08-17,21126.5237072737,475.91292015962057,21711.538037098962,1032.9728871175637,47.520523797894114,25626.76174424166,1537.5393599140502,8580.586431451298,8391.87250306199,16002.351396387008,3104.3442659813995,347.82335656296686,46.388243557033356
2011-08-18,21453.93040156324,479.90327144126286,21793.62561072201,971.6722765590919,46.76128697093917,25627.59176113195,1542.5651754737257,8347.913045192101,8244.70677299792,15946.843429317867,3123.316527677334,343.47048376099104,45.90614939953044
2011-08-19,21968.42838770406,504.12488407444425,22277.35755128137,977.404371377441,47.31963144292555,25816.378467792372,1554.1141997029251,8682.691780158451,8448.024434748764,16156.401160548006,3162.3651923287402,367.86333159694004,46.814650852756635
2011-08-20,21968.42838770406,504.12488407444425,22277.35755128137,977.404371377441,47.31963144292555,25816.378467792372,1554.1141997029251,8682.691780158451,8448.024434748764,16156.401160548006,3162.3651923287402,367.86333159694004,46.814650852756635
2011-08-21,21968.42838770406,504.12488407444425,22277.35755128137,977.404371377441,47.31963144292555,25816.378467792372,1554.1141997029251,8682.691780158451,8448.024434748764,16156.401160548006,3162.3651923287402,367.86333159694004,46.814650852756635
2011-08-22,22360.100968044528,512.8723142758082,22561.362008063566,995.8870140694937,46.834628962202125,25722.936747139047,1546.0843497050696,8707.499702000125,8529.916431395091,16296.22479918854,3133.75292646112,364.51927096742065,46.04142190294341
2011-08-23,22086.41003358116,502.5213576921338,22345.50819234121,1015.4780593053781,47.47573633633047,25823.734671225808,1548.985810699966,9000.125683942351,8679.223216505648,16514.591796418485,3195.3566788515136,366.30422031361223,47.45790971362674
2011-08-24,20800.0981811772,464.3232922410558,21656.245854073688,1009.8263850038478,47.39638170623115,25764.445557361352,1536.5359783626575,8884.59824363272,8677.083436474131,16441.10172145047,3231.301997183739,357.8741110499829,46.50703196726137
2011-08-25,20914.095043507183,484.16879391694647,21658.055608798313,1013.7358344909056,48.47629914517449,25821.74039376808,1544.7809395909321,8999.43063545317,8702.321667627051,16471.721176280087,3264.039048001384,352.4900776154994,46.717414032976244
2011-08-26,21326.935262252126,486.7476729992703,21716.838014314577,1014.8155324064495,48.72588392031293,25828.04705513955,1548.6872651719707,9061.06494892653,8945.164150957316,16817.502966866265,3315.357112431955,359.2330292355791,46.72882422090176
2011-08-27,21326.935262252126,486.7476729992703,21716.838014314577,1014.8155324064495,48.72588392031293,25828.04705513955,1548.6872651719707,9061.06494892653,8945.164150957316,16817.502966866265,3315.357112431955,359.2330292355791,46.72882422090176
2011-08-28,21326.935262252126,486.7476729992703,21716.838014314577,1014.8155324064495,48.72588392031293,25828.04705513955,1548.6872651719707,9061.06494892653,8945.164150957316,16817.502966866265,3315.357112431955,359.2330292355791,46.72882422090176
2011-08-29,21113.939185873773,478.6290564646524,21546.040308763844,1030.3138988587366,48.27493899826904,25651.59401691323,1531.4659815355947,8940.130971951465,8928.324922467209,16977.099158357483,3364.1339446550382,352.8828118785162,45.535934189345184
2011-08-30,21586.377484567754,489.20613855661026,21898.350390812244,1050.5441739817013,48.72208894564511,25675.700954338932,1540.8448715910022,8865.812744675082,9022.38991077564,17120.08825571213,3396.838362788544,350.02383330591414,46.1932173391625
2011-08-31,21642.569833438774,493.5595011677072,21970.433179142987,1051.1766880335754,49.558345921211924,25717.196393548864,1539.0814376014962,8820.959895198386,8965.953868651832,17150.71571706469,3421.857845744005,351.2996878650539,47.98412685709852
2011-09-01,21594.294925869475,490.5665435408724,21912.41489339979,1051.687105338241,48.98924703335177,25694.96401981539,1544.5878224717871,8461.510415914354,8618.2050532461,16849.10826704958,3437.82135736719,349.93164849480047,47.89534423250617
2011-09-02,22192.210933773506,509.5313814426995,22323.68113444193,1023.9187796848485,48.643544797200285,25734.177062981264,1555.0878053462748,8646.162354608825,8886.00452951407,17008.06731673736,3425.301723968282,345.6096166384724,45.86019240498858
2011-09-03,22192.210933773506,509.5313814426995,22323.68113444193,1023.9187796848485,48.643544797200285,25734.177062981264,1555.0878053462748,8646.162354608825,8886.00452951407,17008.06731673736,3425.301723968282,345.6096166384724,45.86019240498858
2011-09-04,22192.210933773506,509.5313814426995,22323.68113444193,1023.9187796848485,48.643544797200285,25734.177062981264,1555.0878053462748,8646.162354608825,8886.00452951407,17008.06731673736,3425.301723968282,345.6096166384724,45.86019240498858
2011-09-05,22192.210933773506,509.5313814426995,22323.68113444193,1023.9187796848485,48.643544797200285,25734.177062981264,1555.0878053462748,8646.162354608825,8886.00452951407,17008.06731673736,3425.301723968282,345.6096166384724,45.86019240498858
2011-09-06,22312.118672153403,498.982931789731,22172.510447518842,1026.4122938229002,48.20033556685616,25925.80095832247,1565.7352178114722,8546.475635208131,8910.4093271786,16866.238478696956,3369.6679472519772,337.56342554215735,46.98920871445523
2011-09-07,21750.645337152753,498.41132276422763,21924.487452618025,1071.1071695888763,49.34118769346541,26049.3418191154,1569.2622858325403,8569.21738129685,8829.980554494761,16916.636201482834,3426.4878950261427,340.61065336842915,47.2370996469313
2011-09-08,22175.295785162652,507.97259452462174,22176.4913137219,1064.878198524786,49.36346795418591,25982.190079206935,1569.3275692904947,8481.356950260048,8648.77182132616,16828.184093413398,3412.871655746384,343.5592263637844,47.593656431165364
2011-09-09,22312.244470010268,499.6697741266016,22089.89125019415,1048.5456444194895,47.92613261698105,26114.484235431028,1583.7032962072103,8425.38416708648,8725.861491162317,17025.045182136946,3260.1789662228357,349.15464140628285,47.054748491784125
2011-09-10,22312.244470010268,499.6697741266016,22089.89125019415,1048.5456444194895,47.92613261698105,26114.484235431028,1583.7032962072103,8425.38416708648,8725.861491162317,17025.045182136946,3260.1789662228357,349.15464140628285,47.054748491784125
2011-09-11,22312.244470010268,499.6697741266016,22089.89125019415,1048.5456444194895,47.92613261698105,26114.484235431028,1583.7032962072103,8425.38416708648,8725.861491162317,17025.045182136946,3260.1789662228357,349.15464140628285,47.054748491784125
2011-09-12,21914.219705415497,486.3046248281918,21908.165719170454,1067.8021234613614,47.83254546065833,26307.59722783922,1591.820008306288,8472.553749939243,8890.278800847287,16799.81182999743,3313.952218339549,358.0327428368492,47.03947300852218
